neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,distance,price_per_night,available_morethan_200,reviews_morethan_100,distance_morethan_15,good_neighbourhood,ln_price
78702,apartments,191,7,24,0.17,3,147,2.9689816879857434,27.285714285714285,0,0,1,0,3.3063632789913164
78702,apartments,88,2,539,3.75,1,356,1.621505024642326,44,1,1,1,0,3.784189633918261
78704,apartments,99,30,113,0.84,1,30,2.8242820406069753,3.3,0,1,1,0,1.1939224684724346
78704,apartments,139,3,233,2.05,2,205,2.43124182932193,46.333333333333336,1,1,1,0,3.835861644462582
78759,apartments,158,30,10,0.08,1,253,13.099266557622322,5.266666666666667,1,0,1,1,1.6613976513648114
78741,apartments,50,31,39,0.3,1,313,4.255616307829103,1.6129032258064515,1,0,1,1,0.47803580094299974
78757,apartments,117,7,34,0.26,1,199,7.241635628986512,16.714285714285715,0,0,1,1,2.816263785742443
78749,apartments,55,1,9,0.07,1,352,12.389165367429747,55,1,0,1,1,4.007333185232471
78703,apartments,60,2,158,1.92,1,76,4.353702969418951,30,0,1,1,0,3.4011973816621555
78744,apartments,50,14,269,2.17,2,329,8.056040478926835,3.5714285714285716,1,1,1,1,1.2729656758128876
78705,apartments,117,30,30,0.24,2,317,1.5879453661199807,3.9,1,0,1,0,1.3609765531356006
78704,apartments,150,2,175,1.47,2,82,3.2394742563580903,75,0,1,1,0,4.31748811353631
78704,apartments,102,1,708,5.84,2,263,2.9994679246076505,102,1,1,1,0,4.624972813284271
78704,apartments,153,2,113,0.96,2,214,2.975817815948472,76.5,1,1,1,0,4.33729074083249
78704,apartments,159,2,390,3.29,2,196,2.4961497003302124,79.5,0,1,1,0,4.375757021660286
78704,apartments,225,2,31,0.78,1,85,4.5219262346749804,112.5,0,0,1,0,4.722953221644475
78704,apartments,150,2,144,1.21,2,90,3.148775274169508,75,0,1,1,0,4.31748811353631
78731,apartments,85,3,354,2.98,1,171,4.504282451285572,28.333333333333332,0,1,1,0,3.3440389678222067
78727,apartments,230,2,27,0.23,1,316,15.898369444605644,115,1,0,0,0,4.74493212836325
78705,apartments,103,30,48,0.4,2,225,1.8880649072057465,3.433333333333333,1,0,1,0,1.2335316065674804
78704,apartments,93,2,214,1.8,1,322,4.600599044900108,46.5,1,1,1,0,3.8394523125933104
78702,apartments,125,2,272,2.29,2,137,3.3219593215542242,62.5,0,1,1,0,4.135166556742356
78703,apartments,111,2,314,2.64,2,303,3.116324253873743,55.5,1,1,1,0,4.0163830207523885
78703,apartments,160,2,208,1.75,2,332,1.167456807919041,80,1,1,1,0,4.382026634673881
78722,apartments,100,2,180,1.51,1,133,3.1876529303903833,50,0,1,1,0,3.912023005428146
78704,apartments,80,20,42,0.35,1,223,3.805697279898442,4,1,0,1,0,1.3862943611198906
78704,apartments,175,2,16,0.16,2,292,4.064919542628403,87.5,1,0,1,0,4.471638793363569
78704,apartments,149,2,22,0.29,2,273,4.170499087497089,74.5,1,0,1,0,4.310799125385514
78725,apartments,225,2,6,0.09,1,319,7.4874018749176106,112.5,1,0,1,0,4.722953221644475
